emotion,precision,recall,f1-score,support,class_accuracy
angry,0.022727272727272728,0.023529411764705882,0.023121387283236993,85.0,0.5029411764705882
happy,0.2653061224489796,0.3058823529411765,0.28415300546448086,85.0,0.6147058823529412
neutral,0.13333333333333333,0.023529411764705882,0.04,85.0,0.7176470588235294
sad,0.5467625899280576,0.8941176470588236,0.6785714285714286,85.0,0.788235294117647
accuracy,0.31176470588235294,0.31176470588235294,0.31176470588235294,340.0,0.31176470588235294
macro avg,0.24203232960941082,0.31176470588235294,0.2564614553297866,340.0,
weighted avg,0.24203232960941082,0.31176470588235294,0.25646145532978665,340.0,
