emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3508771929824561,0.8333333333333334,0.4938271604938272,48.0,0.5729166666666666
happy,0.13636363636363635,0.0625,0.08571428571428572,48.0,0.6666666666666666
neutral,0.5294117647058824,0.5625,0.5454545454545455,48.0,0.765625
sad,0.8,0.08333333333333333,0.1509433962264151,48.0,0.765625
accuracy,0.3854166666666667,0.3854166666666667,0.3854166666666667,192.0,0.3854166666666667
macro avg,0.4541631485129937,0.3854166666666667,0.31898484697226837,192.0,
weighted avg,0.4541631485129938,0.3854166666666667,0.3189848469722683,192.0,
