emotion,precision,recall,f1-score,support,class_accuracy
angry,0.1568627450980392,0.09411764705882353,0.11764705882352941,85.0,0.6470588235294118
happy,0.35051546391752575,0.8,0.48745519713261654,85.0,0.5794117647058824
neutral,0.4166666666666667,0.058823529411764705,0.10309278350515463,85.0,0.7441176470588236
sad,0.7831325301204819,0.7647058823529411,0.7738095238095238,85.0,0.888235294117647
accuracy,0.4294117647058823,0.4294117647058823,0.4294117647058823,340.0,0.4294117647058823
macro avg,0.4267943514506784,0.4294117647058824,0.3705011408177061,340.0,
weighted avg,0.42679435145067846,0.4294117647058823,0.37050114081770613,340.0,
