emotion,precision,recall,f1-score,support,class_accuracy
angry,0.5,0.6041666666666666,0.5471698113207547,48.0,0.75
happy,0.2,0.3333333333333333,0.25,48.0,0.5
neutral,0.36666666666666664,0.22916666666666666,0.28205128205128205,48.0,0.7083333333333334
sad,0.4166666666666667,0.20833333333333334,0.2777777777777778,48.0,0.7291666666666666
accuracy,0.34375,0.34375,0.34375,192.0,0.34375
macro avg,0.37083333333333335,0.34375,0.3392497177874536,192.0,
weighted avg,0.37083333333333335,0.34375,0.3392497177874536,192.0,
