emotion,precision,recall,f1-score,support,class_accuracy
angry,0.04081632653061224,0.047058823529411764,0.04371584699453552,85.0,0.4852941176470588
happy,0.24203821656050956,0.4470588235294118,0.3140495867768595,85.0,0.5117647058823529
neutral,0.1111111111111111,0.023529411764705882,0.038834951456310676,85.0,0.7088235294117647
sad,0.5970149253731343,0.47058823529411764,0.5263157894736841,85.0,0.788235294117647
accuracy,0.24705882352941178,0.24705882352941178,0.24705882352941178,340.0,0.24705882352941178
macro avg,0.2477451448938418,0.24705882352941178,0.23072904367534747,340.0,
weighted avg,0.24774514489384178,0.24705882352941178,0.23072904367534744,340.0,
