emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3592233009708738,0.7708333333333334,0.490066225165563,48.0,0.5989583333333334
happy,0.2727272727272727,0.125,0.17142857142857143,48.0,0.6979166666666666
neutral,0.40384615384615385,0.4375,0.42000000000000004,48.0,0.6979166666666666
sad,0.4,0.125,0.19047619047619047,48.0,0.734375
accuracy,0.3645833333333333,0.3645833333333333,0.3645833333333333,192.0,0.3645833333333333
macro avg,0.35894918188607505,0.36458333333333337,0.3179927467675812,192.0,
weighted avg,0.3589491818860751,0.3645833333333333,0.31799274676758116,192.0,
