emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3954802259887006,0.8235294117647058,0.5343511450381679,85.0,0.6411764705882353
happy,0.3380281690140845,0.2823529411764706,0.30769230769230765,85.0,0.6823529411764706
neutral,0.32142857142857145,0.10588235294117647,0.1592920353982301,85.0,0.7205882352941176
sad,0.890625,0.6705882352941176,0.7651006711409396,85.0,0.8970588235294118
accuracy,0.47058823529411764,0.47058823529411764,0.47058823529411764,340.0,0.47058823529411764
macro avg,0.48639049160783915,0.47058823529411764,0.44160903981741134,340.0,
weighted avg,0.4863904916078391,0.47058823529411764,0.44160903981741134,340.0,
