emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3850574712643678,0.788235294117647,0.5173745173745173,85.0,0.6323529411764706
happy,0.44155844155844154,0.4,0.41975308641975306,85.0,0.7235294117647059
neutral,0.42424242424242425,0.16470588235294117,0.23728813559322032,85.0,0.7352941176470589
sad,0.8571428571428571,0.5647058823529412,0.6808510638297872,85.0,0.8676470588235294
accuracy,0.47941176470588237,0.47941176470588237,0.47941176470588237,340.0,0.47941176470588237
macro avg,0.5270002985520227,0.47941176470588237,0.46381670080431947,340.0,
weighted avg,0.5270002985520227,0.47941176470588237,0.46381670080431947,340.0,
