emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2897196261682243,0.36470588235294116,0.32291666666666663,85.0,0.6176470588235294
happy,0.47560975609756095,0.4588235294117647,0.46706586826347307,85.0,0.7382352941176471
neutral,0.45454545454545453,0.4117647058823529,0.4320987654320988,85.0,0.7294117647058823
sad,0.8918918918918919,0.7764705882352941,0.830188679245283,85.0,0.9205882352941176
accuracy,0.5029411764705882,0.5029411764705882,0.5029411764705882,340.0,0.5029411764705882
macro avg,0.527941682175783,0.5029411764705882,0.5130674949018803,340.0,
weighted avg,0.5279416821757829,0.5029411764705882,0.5130674949018804,340.0,
