emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2982456140350877,0.4,0.3417085427135679,85.0,0.6147058823529412
happy,0.44871794871794873,0.4117647058823529,0.4294478527607362,85.0,0.7264705882352941
neutral,0.5172413793103449,0.35294117647058826,0.41958041958041964,85.0,0.7558823529411764
sad,0.6,0.6352941176470588,0.6171428571428571,85.0,0.8029411764705883
accuracy,0.45,0.45,0.45,340.0,0.45
macro avg,0.4660512355158454,0.45,0.4519699180493951,340.0,
weighted avg,0.4660512355158453,0.45,0.4519699180493952,340.0,
