emotion,precision,recall,f1-score,support,class_accuracy
angry,0.4107142857142857,0.9583333333333334,0.575,48.0,0.6458333333333334
happy,0.11904761904761904,0.10416666666666667,0.11111111111111112,48.0,0.5833333333333334
neutral,0.5217391304347826,0.25,0.3380281690140845,48.0,0.7552083333333334
sad,0.3333333333333333,0.10416666666666667,0.15873015873015875,48.0,0.7239583333333334
accuracy,0.3541666666666667,0.3541666666666667,0.3541666666666667,192.0,0.3541666666666667
macro avg,0.34620859213250516,0.3541666666666667,0.2957173597138386,192.0,
weighted avg,0.34620859213250516,0.3541666666666667,0.29571735971383856,192.0,
