emotion,precision,recall,f1-score,support,class_accuracy
angry,0.32558139534883723,0.875,0.47457627118644063,48.0,0.515625
happy,0.5,0.125,0.2,48.0,0.75
neutral,0.0,0.0,0.0,48.0,0.7447916666666666
sad,0.32,0.3333333333333333,0.32653061224489793,48.0,0.65625
accuracy,0.3333333333333333,0.3333333333333333,0.3333333333333333,192.0,0.3333333333333333
macro avg,0.2863953488372093,0.3333333333333333,0.25027672085783464,192.0,
weighted avg,0.2863953488372093,0.3333333333333333,0.2502767208578347,192.0,
