emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3409090909090909,0.35294117647058826,0.3468208092485549,85.0,0.6676470588235294
happy,0.3854166666666667,0.43529411764705883,0.4088397790055249,85.0,0.6852941176470588
neutral,0.5074626865671642,0.4,0.4473684210526316,85.0,0.7529411764705882
sad,0.6853932584269663,0.7176470588235294,0.7011494252873562,85.0,0.8470588235294118
accuracy,0.4764705882352941,0.4764705882352941,0.4764705882352941,340.0,0.4764705882352941
macro avg,0.479795425642472,0.4764705882352942,0.47604460864851694,340.0,
weighted avg,0.479795425642472,0.4764705882352941,0.4760446086485169,340.0,
