emotion,precision,recall,f1-score,support,class_accuracy
angry,0.31063829787234043,0.8588235294117647,0.45624999999999993,85.0,0.48823529411764705
happy,0.6666666666666666,0.18823529411764706,0.29357798165137616,85.0,0.7735294117647059
neutral,0.47368421052631576,0.10588235294117647,0.17307692307692304,85.0,0.7470588235294118
sad,0.8387096774193549,0.611764705882353,0.7074829931972789,85.0,0.8735294117647059
accuracy,0.4411764705882353,0.4411764705882353,0.4411764705882353,340.0,0.4411764705882353
macro avg,0.5724247131211694,0.4411764705882353,0.40759697448139454,340.0,
weighted avg,0.5724247131211695,0.4411764705882353,0.40759697448139454,340.0,
