emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3803680981595092,0.7294117647058823,0.5,85.0,0.6352941176470588
happy,0.45901639344262296,0.32941176470588235,0.3835616438356164,85.0,0.7352941176470589
neutral,0.42857142857142855,0.35294117647058826,0.3870967741935484,85.0,0.7205882352941176
sad,0.8478260869565217,0.4588235294117647,0.5954198473282443,85.0,0.8441176470588235
accuracy,0.4676470588235294,0.4676470588235294,0.4676470588235294,340.0,0.4676470588235294
macro avg,0.5289455017825206,0.4676470588235294,0.4665195663393522,340.0,
weighted avg,0.5289455017825205,0.4676470588235294,0.4665195663393522,340.0,
