emotion,precision,recall,f1-score,support,class_accuracy
angry,0.24324324324324326,0.9375,0.3862660944206009,48.0,0.2552083333333333
happy,0.0,0.0,0.0,48.0,0.7291666666666666
neutral,0.0,0.0,0.0,48.0,0.7447916666666666
sad,0.5,0.020833333333333332,0.039999999999999994,48.0,0.75
accuracy,0.23958333333333334,0.23958333333333334,0.23958333333333334,192.0,0.23958333333333334
macro avg,0.1858108108108108,0.23958333333333334,0.1065665236051502,192.0,
weighted avg,0.18581081081081083,0.23958333333333334,0.10656652360515022,192.0,
