emotion,precision,recall,f1-score,support,class_accuracy
angry,0.5753424657534246,0.875,0.6942148760330579,48.0,0.8072916666666666
happy,0.5357142857142857,0.3125,0.39473684210526316,48.0,0.7604166666666666
neutral,0.52,0.5416666666666666,0.5306122448979592,48.0,0.7604166666666666
sad,0.3902439024390244,0.3333333333333333,0.35955056179775274,48.0,0.703125
accuracy,0.515625,0.515625,0.515625,192.0,0.515625
macro avg,0.5053251634766837,0.515625,0.4947786312085083,192.0,
weighted avg,0.5053251634766837,0.515625,0.49477863120850823,192.0,
