emotion,precision,recall,f1-score,support,class_accuracy
angry,0.5606060606060606,0.7708333333333334,0.6491228070175438,48.0,0.7916666666666666
happy,0.6176470588235294,0.4375,0.5121951219512195,48.0,0.7916666666666666
neutral,0.5555555555555556,0.625,0.5882352941176471,48.0,0.78125
sad,0.4473684210526316,0.3541666666666667,0.3953488372093023,48.0,0.7291666666666666
accuracy,0.546875,0.546875,0.546875,192.0,0.546875
macro avg,0.5452942740094443,0.546875,0.5362255150739281,192.0,
weighted avg,0.5452942740094443,0.546875,0.5362255150739282,192.0,
