emotion,precision,recall,f1-score,support,class_accuracy
angry,0.7333333333333333,0.9166666666666666,0.8148148148148148,48.0,0.8958333333333334
happy,0.6410256410256411,0.5208333333333334,0.5747126436781609,48.0,0.8072916666666666
neutral,0.782608695652174,0.75,0.7659574468085107,48.0,0.8854166666666666
sad,0.6808510638297872,0.6666666666666666,0.6736842105263158,48.0,0.8385416666666666
accuracy,0.7135416666666666,0.7135416666666666,0.7135416666666666,192.0,0.7135416666666666
macro avg,0.7094546834602339,0.7135416666666666,0.7072922789569506,192.0,
weighted avg,0.7094546834602338,0.7135416666666666,0.7072922789569506,192.0,
