emotion,precision,recall,f1-score,support,class_accuracy
angry,0.11695906432748537,0.23529411764705882,0.15624999999999997,85.0,0.36470588235294116
happy,0.24074074074074073,0.15294117647058825,0.18705035971223025,85.0,0.6676470588235294
neutral,0.017857142857142856,0.011764705882352941,0.014184397163120567,85.0,0.5911764705882353
sad,0.1694915254237288,0.11764705882352941,0.13888888888888887,85.0,0.6352941176470588
accuracy,0.12941176470588237,0.12941176470588237,0.12941176470588237,340.0,0.12941176470588237
macro avg,0.13626211833727442,0.12941176470588237,0.12409341144105993,340.0,
weighted avg,0.13626211833727445,0.12941176470588237,0.12409341144105993,340.0,
