emotion,precision,recall,f1-score,support,class_accuracy
angry,0.34673366834170855,0.8117647058823529,0.4859154929577465,85.0,0.5705882352941176
happy,0.4883720930232558,0.24705882352941178,0.328125,85.0,0.7470588235294118
neutral,0.48717948717948717,0.2235294117647059,0.3064516129032258,85.0,0.7470588235294118
sad,0.9491525423728814,0.6588235294117647,0.7777777777777778,85.0,0.9058823529411765
accuracy,0.4852941176470588,0.4852941176470588,0.4852941176470588,340.0,0.4852941176470588
macro avg,0.5678594477293333,0.4852941176470589,0.47456747090968754,340.0,
weighted avg,0.5678594477293333,0.4852941176470588,0.4745674709096875,340.0,
