emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2835820895522388,0.4470588235294118,0.34703196347031967,85.0,0.5794117647058824
happy,0.39705882352941174,0.3176470588235294,0.35294117647058826,85.0,0.7088235294117647
neutral,0.5416666666666666,0.3058823529411765,0.39097744360902253,85.0,0.7617647058823529
sad,0.6111111111111112,0.6470588235294118,0.6285714285714287,85.0,0.8088235294117647
accuracy,0.4294117647058823,0.4294117647058823,0.4294117647058823,340.0,0.4294117647058823
macro avg,0.4583546727148571,0.4294117647058824,0.42988050303033976,340.0,
weighted avg,0.4583546727148571,0.4294117647058823,0.42988050303033976,340.0,
