emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2974137931034483,0.8117647058823529,0.43533123028391174,85.0,0.47352941176470587
happy,0.2962962962962963,0.09411764705882353,0.14285714285714285,85.0,0.7176470588235294
neutral,0.4117647058823529,0.16470588235294117,0.23529411764705885,85.0,0.7323529411764705
sad,0.9574468085106383,0.5294117647058824,0.6818181818181819,85.0,0.8764705882352941
accuracy,0.4,0.4,0.4,340.0,0.4
macro avg,0.490730400948184,0.4,0.37382516815157374,340.0,
weighted avg,0.490730400948184,0.4,0.3738251681515738,340.0,
