emotion,precision,recall,f1-score,support,class_accuracy
angry,0.33640552995391704,0.8588235294117647,0.48344370860927155,85.0,0.5411764705882353
happy,0.35714285714285715,0.11764705882352941,0.1769911504424779,85.0,0.7264705882352941
neutral,0.3611111111111111,0.3058823529411765,0.33121019108280253,85.0,0.6911764705882353
sad,1.0,0.27058823529411763,0.42592592592592593,85.0,0.8176470588235294
accuracy,0.38823529411764707,0.38823529411764707,0.38823529411764707,340.0,0.38823529411764707
macro avg,0.5136648745519714,0.388235294117647,0.35439274401511944,340.0,
weighted avg,0.5136648745519713,0.38823529411764707,0.35439274401511944,340.0,
