emotion,precision,recall,f1-score,support,class_accuracy
angry,0.7213114754098361,0.9166666666666666,0.8073394495412843,48.0,0.890625
happy,0.6410256410256411,0.5208333333333334,0.5747126436781609,48.0,0.8072916666666666
neutral,0.725,0.6041666666666666,0.6590909090909091,48.0,0.84375
sad,0.5384615384615384,0.5833333333333334,0.5599999999999999,48.0,0.7708333333333334
accuracy,0.65625,0.65625,0.65625,192.0,0.65625
macro avg,0.6564496637242538,0.65625,0.6502857505775886,192.0,
weighted avg,0.656449663724254,0.65625,0.6502857505775886,192.0,
