emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3076923076923077,0.1411764705882353,0.19354838709677422,85.0,0.7058823529411765
happy,0.18421052631578946,0.08235294117647059,0.11382113821138211,85.0,0.6794117647058824
neutral,0.3230769230769231,0.9882352941176471,0.48695652173913045,85.0,0.47941176470588237
sad,1.0,0.03529411764705882,0.06818181818181818,85.0,0.7588235294117647
accuracy,0.31176470588235294,0.31176470588235294,0.31176470588235294,340.0,0.31176470588235294
macro avg,0.4537449392712551,0.311764705882353,0.21562696630727624,340.0,
weighted avg,0.4537449392712551,0.31176470588235294,0.21562696630727624,340.0,
