emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3333333333333333,0.058823529411764705,0.1,85.0,0.7352941176470589
happy,0.3941176470588235,0.788235294117647,0.5254901960784313,85.0,0.6441176470588236
neutral,0.42857142857142855,0.7058823529411765,0.5333333333333333,85.0,0.6911764705882353
sad,0.8666666666666667,0.15294117647058825,0.26000000000000006,85.0,0.7823529411764706
accuracy,0.4264705882352941,0.4264705882352941,0.4264705882352941,340.0,0.4264705882352941
macro avg,0.505672268907563,0.42647058823529416,0.35470588235294115,340.0,
weighted avg,0.5056722689075631,0.4264705882352941,0.35470588235294115,340.0,
