emotion,precision,recall,f1-score,support,class_accuracy
angry,0.15217391304347827,0.08235294117647059,0.10687022900763359,85.0,0.6558823529411765
happy,0.2755102040816326,0.3176470588235294,0.29508196721311475,85.0,0.6205882352941177
neutral,0.43005181347150256,0.9764705882352941,0.5971223021582733,85.0,0.6705882352941176
sad,1.0,0.03529411764705882,0.06818181818181818,85.0,0.7588235294117647
accuracy,0.35294117647058826,0.35294117647058826,0.35294117647058826,340.0,0.35294117647058826
macro avg,0.46443398264915337,0.35294117647058826,0.26681407914020994,340.0,
weighted avg,0.4644339826491533,0.35294117647058826,0.26681407914021,340.0,
