emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2751677852348993,0.4823529411764706,0.35042735042735046,85.0,0.5529411764705883
happy,0.19047619047619047,0.09411764705882353,0.12598425196850394,85.0,0.6735294117647059
neutral,0.3795620437956204,0.611764705882353,0.46846846846846846,85.0,0.6529411764705882
sad,0.5833333333333334,0.08235294117647059,0.14432989690721648,85.0,0.7558823529411764
accuracy,0.3176470588235294,0.3176470588235294,0.3176470588235294,340.0,0.3176470588235294
macro avg,0.3571348382100109,0.3176470588235294,0.2723024919428848,340.0,
weighted avg,0.35713483821001096,0.3176470588235294,0.27230249194288486,340.0,
