emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3018867924528302,1.0,0.463768115942029,48.0,0.421875
happy,0.8,0.08333333333333333,0.1509433962264151,48.0,0.765625
neutral,0.42857142857142855,0.1875,0.26086956521739124,48.0,0.734375
sad,0.2857142857142857,0.041666666666666664,0.07272727272727272,48.0,0.734375
accuracy,0.328125,0.328125,0.328125,192.0,0.328125
macro avg,0.4540431266846361,0.328125,0.23707708752827705,192.0,
weighted avg,0.4540431266846361,0.328125,0.23707708752827703,192.0,
