emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3103448275862069,0.375,0.339622641509434,48.0,0.6354166666666666
happy,0.06666666666666667,0.020833333333333332,0.031746031746031744,48.0,0.6822916666666666
neutral,0.2926829268292683,0.5,0.3692307692307692,48.0,0.5729166666666666
sad,0.16216216216216217,0.125,0.1411764705882353,48.0,0.6197916666666666
accuracy,0.2552083333333333,0.2552083333333333,0.2552083333333333,192.0,0.2552083333333333
macro avg,0.207964145811076,0.2552083333333333,0.22044397826861756,192.0,
weighted avg,0.207964145811076,0.2552083333333333,0.22044397826861753,192.0,
