emotion,precision,recall,f1-score,support,class_accuracy
angry,0.7333333333333333,0.9166666666666666,0.8148148148148148,48.0,0.8958333333333334
happy,0.7419354838709677,0.4791666666666667,0.5822784810126582,48.0,0.828125
neutral,0.7631578947368421,0.6041666666666666,0.6744186046511628,48.0,0.8541666666666666
sad,0.5555555555555556,0.7291666666666666,0.6306306306306306,48.0,0.7864583333333334
accuracy,0.6822916666666666,0.6822916666666666,0.6822916666666666,192.0,0.6822916666666666
macro avg,0.6984955668741746,0.6822916666666666,0.6755356327773165,192.0,
weighted avg,0.6984955668741747,0.6822916666666666,0.6755356327773167,192.0,
