emotion,precision,recall,f1-score,support,class_accuracy
angry,0.589041095890411,0.8958333333333334,0.7107438016528926,48.0,0.8177083333333334
happy,0.5652173913043478,0.2708333333333333,0.3661971830985915,48.0,0.765625
neutral,0.6521739130434783,0.625,0.6382978723404256,48.0,0.8229166666666666
sad,0.42,0.4375,0.4285714285714286,48.0,0.7083333333333334
accuracy,0.5572916666666666,0.5572916666666666,0.5572916666666666,192.0,0.5572916666666666
macro avg,0.5566081000595593,0.5572916666666667,0.5359525714158345,192.0,
weighted avg,0.5566081000595592,0.5572916666666666,0.5359525714158345,192.0,
