emotion,precision,recall,f1-score,support,class_accuracy
angry,0.21951219512195122,0.3176470588235294,0.2596153846153846,85.0,0.5470588235294118
happy,0.3409090909090909,0.35294117647058826,0.3468208092485549,85.0,0.6676470588235294
neutral,0.4262295081967213,0.3058823529411765,0.3561643835616438,85.0,0.7235294117647059
sad,0.8970588235294118,0.7176470588235294,0.7973856209150327,85.0,0.9088235294117647
accuracy,0.4235294117647059,0.4235294117647059,0.4235294117647059,340.0,0.4235294117647059
macro avg,0.4709274044392938,0.42352941176470593,0.439996549585154,340.0,
weighted avg,0.4709274044392938,0.4235294117647059,0.439996549585154,340.0,
