emotion,precision,recall,f1-score,support,class_accuracy
angry,0.2507936507936508,0.9294117647058824,0.395,85.0,0.28823529411764703
happy,0.0,0.0,0.0,85.0,0.7
neutral,0.375,0.03529411764705882,0.06451612903225806,85.0,0.7441176470588236
sad,0.0,0.0,0.0,85.0,0.75
accuracy,0.2411764705882353,0.2411764705882353,0.2411764705882353,340.0,0.2411764705882353
macro avg,0.4064484126984127,0.2411764705882353,0.11487903225806452,340.0,
weighted avg,0.40644841269841264,0.2411764705882353,0.11487903225806452,340.0,
