emotion,precision,recall,f1-score,support,class_accuracy
angry,0.3712574850299401,0.7294117647058823,0.49206349206349204,85.0,0.6235294117647059
happy,0.4177215189873418,0.38823529411764707,0.4024390243902439,85.0,0.711764705882353
neutral,0.45161290322580644,0.16470588235294117,0.2413793103448276,85.0,0.7411764705882353
sad,0.8412698412698413,0.6235294117647059,0.7162162162162162,85.0,0.8764705882352941
accuracy,0.4764705882352941,0.4764705882352941,0.4764705882352941,340.0,0.4764705882352941
macro avg,0.5204654371282325,0.47647058823529415,0.46302451075369494,340.0,
weighted avg,0.5204654371282325,0.4764705882352941,0.46302451075369494,340.0,
