emotion,precision,recall,f1-score,support,class_accuracy
angry,0.7213114754098361,0.9166666666666666,0.8073394495412843,48.0,0.890625
happy,0.6578947368421053,0.5208333333333334,0.5813953488372092,48.0,0.8125
neutral,0.7317073170731707,0.625,0.6741573033707865,48.0,0.8489583333333334
sad,0.5384615384615384,0.5833333333333334,0.5599999999999999,48.0,0.7708333333333334
accuracy,0.6614583333333334,0.6614583333333334,0.6614583333333334,192.0,0.6614583333333334
macro avg,0.6623437669466625,0.6614583333333334,0.6557230254373201,192.0,
weighted avg,0.6623437669466626,0.6614583333333334,0.65572302543732,192.0,
